order_id,order_date,customer_id,product_name,category,sub_category,region,state,quantity,unit_price,discount,sales,profit,ship_mode,segment,gross_sales,discount_impact,revenue_per_unit,profit_margin,month_year,month_start,quarter,calendar_month,calendar_month_num
ORD-010000,2024-01-03,CUST-5053,Ergonomic Office Chair,Furniture,Chairs,South,Florida,4,200.02,0.13,692.52,-11.53,First Class,Consumer,800.08,107.56000000000006,173.13,-1.6649338647259284,2024-01,2024-01-01,2024Q1,January,1
ORD-010001,2024-01-03,CUST-7838,Smart LED Monitor,Technology,Monitors,South,North Carolina,3,222.76,0.14,572.37,73.2,First Class,Corporate,668.28,95.90999999999997,190.79,12.78893023743383,2024-01,2024-01-01,2024Q1,January,1
ORD-010002,2024-01-06,CUST-4933,Ergonomic Office Chair,Furniture,Chairs,East,New York,5,192.31,0.13,840.39,-6.36,Standard Class,Corporate,961.55,121.15999999999997,168.078,-0.7567914896655125,2024-01,2024-01-01,2024Q1,January,1
ORD-010003,2024-01-07,CUST-8025,Modular Bookshelf,Furniture,Storage,West,Washington,5,170.95,0.11,758.73,-28.83,Second Class,Corporate,854.75,96.01999999999998,151.746,-3.7997706694080895,2024-01,2024-01-01,2024Q1,January,1
ORD-010004,2024-01-18,CUST-2931,Desk Organizer Set,Office Supplies,Storage,Central,Colorado,3,35.08,0.08,96.3,39.19,Standard Class,Consumer,105.24,8.939999999999998,32.1,40.6957424714434,2024-01,2024-01-01,2024Q1,January,1
ORD-010005,2024-01-21,CUST-1810,Wireless Keyboard,Technology,Accessories,South,North Carolina,5,75.35,0.14,324.33,79.54,Standard Class,Consumer,376.75,52.420000000000016,64.866,24.5244041562606,2024-01,2024-01-01,2024Q1,January,1
ORD-010006,2024-01-11,CUST-5455,Ergonomic Office Chair,Furniture,Chairs,East,Pennsylvania,5,187.48,0.07,870.9,43.48,Same Day,Home Office,937.4,66.5,174.18,4.992536456539212,2024-01,2024-01-01,2024Q1,January,1
ORD-010007,2024-01-07,CUST-7825,Smart LED Monitor,Technology,Monitors,South,Florida,5,231.18,0.17,964.93,102.69,Standard Class,Home Office,1155.9,190.97000000000014,192.986,10.642222751909465,2024-01,2024-01-01,2024Q1,January,1
ORD-010008,2024-01-06,CUST-9906,Smart LED Monitor,Technology,Monitors,East,Pennsylvania,1,242.4,0.11,215.14,35.1,Standard Class,Home Office,242.4,27.26000000000002,215.14,16.314957701961514,2024-01,2024-01-01,2024Q1,January,1
ORD-010009,2024-01-30,CUST-5685,Smart LED Monitor,Technology,Monitors,East,Massachusetts,4,209.47,0.07,783.11,157.84,Standard Class,Consumer,837.88,54.76999999999998,195.7775,20.15553370535429,2024-01,2024-01-01,2024Q1,January,1
