order_id,order_date,customer_id,product_name,category,sub_category,region,state,quantity,unit_price,discount,sales,profit,ship_mode,segment
ORD-010000,03-Jan-2024,CUST-5053,ERGONOMIC OFFICE CHAIR,furniture,Chairs, South , Florida ,4,200.02,0.13,692.52,-11.53,FIRST CLASS,Consumer
ORD-010001,03-Jan-2024,CUST-7838,Smart LED Monitor,technology,monitors,south,North Carolina,3,$222.76,0.14,572.37,73.2,first class, Corporate 
ORD-010002,06-Jan-2024,CUST-4933,Ergonomic Office Chair, Furniture ,CHAIRS,EAST,New York,5,192.31,0.13,840.39,-6.36,standard class, Corporate 
ORD-010003,2024-01-07,CUST-8025,MODULAR BOOKSHELF,furniture,STORAGE,WEST,Washington,5,$170.95,0.11,758.73,-28.83,Second Class, Corporate 
ORD-010004,18-Jan-2024,CUST-2931,desk organizer set,office supplies, Storage , Central ,Colorado,3,$35.08,0.08,96.3,39.19,Standard Class,consumer
ORD-010005,2024-01-21,CUST-1810, Wireless Keyboard ,TECHNOLOGY,ACCESSORIES,south,NORTH CAROLINA,5,75.35,0.14,$324.33,79.54,Standard Class,consumer
ORD-010006,2024-01-11,CUST-5455,ERGONOMIC OFFICE CHAIR,furniture,chairs, East , Pennsylvania ,5,187.48,0.07,870.9,43.48,SAME DAY,home office
ORD-010007,2024-01-07,CUST-7825,smart led monitor,TECHNOLOGY,MONITORS,south,florida,5,231.18,0.17,964.93,$102.69,STANDARD CLASS, Home Office 
ORD-010008,01/06/2024,CUST-9906,SMART LED MONITOR,technology,monitors,EAST,PENNSYLVANIA,1,$242.40,0.11,215.14,35.1,standard class, Home Office 
ORD-010009,01/30/2024,CUST-5685, Smart LED Monitor ,technology,monitors,East,massachusetts,4,209.47,0.07,$783.11,157.84, Standard Class ,consumer
ORD-010010,21-Jan-2024,CUST-3071,Modular Bookshelf,Furniture,Storage,EAST,NEW YORK,2,169.88,0.19,274.57,-39.23,standard class,Home Office
ORD-010011,2024-01-17,CUST-2363, Ergonomic Office Chair ,Furniture,CHAIRS, East , New Jersey ,5,202.55,0.11,904.31,16.6,Standard Class, Home Office 
ORD-010012,01-Jan-2024,CUST-1608, Compact Printer , Technology ,Printers,EAST,New Jersey,1,140.02,0.15,118.49,-12.23,standard class,consumer
ORD-010013,2024-01-06,CUST-9722,Desk Organizer Set,office supplies,STORAGE, South ,GEORGIA,3,34.46,0.13,89.5,29.67,Standard Class,CORPORATE
ORD-010014,2024-01-31,CUST-3823, Modular Bookshelf ,FURNITURE,storage, West , Washington ,1,$165.73,0.13,144.66,-8.4, Standard Class ,Corporate
ORD-010015,19-Jan-2024,CUST-1160,SMART LED MONITOR,Technology,monitors, East ,new york,5,226.37,0.07,1052.45,210.03, Standard Class , Corporate 
ORD-010016,01/12/2024,CUST-3230,compact printer,Technology, Printers ,EAST, New Jersey ,1,$138.48,0.14,$119.18,-10.18, First Class ,consumer
ORD-010017,01/05/2024,CUST-2039,PREMIUM NOTEBOOK BUNDLE,Office Supplies,PAPER,East,New York,5,$18.31,0.12,80.83,30.79,Standard Class, Consumer 
ORD-010018,2024-01-16,CUST-6782,ERGONOMIC OFFICE CHAIR, Furniture ,chairs,east,Pennsylvania,6,201.52,0.1,1082.47,$22.17,Standard Class, Consumer 
ORD-010019,01/27/2024,CUST-6781,SMART LED MONITOR, Technology ,MONITORS,South, North Carolina ,3,218.83,0.17,547.57,56.9,FIRST CLASS, Corporate 
ORD-010020,01/05/2024,CUST-4297,COMPACT PRINTER,technology,printers,west,Washington,1,140.82,0.02,138.22,7.09,STANDARD CLASS, Consumer 
ORD-010021,01/18/2024,CUST-2590,ERGONOMIC OFFICE CHAIR,Furniture,Chairs,CENTRAL,TEXAS,7,205.59,0.12,"$1,273.11",18.2,SECOND CLASS,Consumer
